protractor_B
t	θ
1.041100000E1	-4.315231965E1
1.051110000E1	-4.267051873E1
1.061120000E1	-4.433561301E1
1.071130000E1	-4.680735439E1
1.081140000E1	-4.824078685E1
1.091150000E1	-4.886025139E1
1.101171100E1	-5.007057034E1
1.111181100E1	-5.091118824E1
1.121191100E1	-5.225862994E1
1.131201100E1	-5.300168278E1
1.141211100E1	-5.423674954E1
1.151221100E1	-5.504989301E1
1.161231100E1	-5.606278902E1
1.171241100E1	-5.658966944E1
1.181251100E1	-5.563280981E1
1.191261100E1	-5.563280981E1
1.201271100E1	-5.766873963E1
1.211281100E1	-5.811726379E1
1.221291100E1	-5.999391645E1
1.231301100E1	-6.082144371E1
1.241311100E1	-6.079964134E1
1.251321100E1	-6.095118916E1
1.261331100E1	-6.115083052E1
1.271341100E1	-6.393019596E1
1.281362200E1	-6.620142974E1
1.291372200E1	-6.752785087E1
1.301382200E1	-6.962795989E1
1.311392200E1	-7.150156980E1
1.321402200E1	-7.153111504E1
1.331412200E1	-7.045805576E1
1.341422200E1	-6.979430040E1
1.351432200E1	-7.075117089E1
1.361442200E1	-7.284098549E1
1.371452200E1	-7.149105256E1
1.381462200E1	-7.422343135E1
1.391472200E1	-7.553488921E1
1.401482200E1	-7.582375111E1
1.411492200E1	-7.582375111E1
1.421502200E1	-7.456248356E1
1.431512200E1	-7.656175008E1
1.441522200E1	-7.658236561E1
1.451543400E1	-7.712490790E1
1.461553400E1	-7.864749634E1
1.471563400E1	-8.016369674E1
1.481573400E1	-8.124002717E1
1.491583400E1	-8.016369674E1
1.501593400E1	-7.935536915E1
1.511603400E1	-8.034213368E1
1.521613400E1	-7.925964160E1
1.531623400E1	-7.865767993E1
1.541633400E1	-7.811331893E1
1.551643400E1	-7.798648572E1
1.561653400E1	-7.825507282E1
1.571663400E1	-7.985791395E1
1.581673400E1	-8.113747907E1
1.591683400E1	-8.139700243E1
1.601693400E1	-8.141354348E1
1.611703400E1	-8.080149086E1
1.621713400E1	-8.113504946E1
1.631723400E1	-8.084569647E1
1.641733400E1	-8.173596967E1
1.651743400E1	-8.246105047E1
1.661753400E1	-8.360086171E1
1.671774500E1	-8.360086171E1
1.681785600E1	-8.421610364E1
1.691796700E1	-8.502563535E1
1.701806700E1	-8.584773669E1
1.711816700E1	-8.720557519E1
